#,Title,JPja,USen
1,"""0000""",ボーイ？,"Sorry, \""boe\""?"
2,"""0001""",さよなら,Good-bye.
3,"""0002""",バーイ？,"Sorry, \""bai\""?"
4,Near_Raimei_001,おお その兜は…,"Ooo, that helm..."
5,Npc_oasis024_001,"すまんが ゲルド族には
成人になるまでにヴォーイと交わると
災いが降りかかるという言い伝えがあってな
ゲルドの街に お前を入れることはできないんだ
旅支度がしたいなら この街ではなく
砂漠の入口付近にあるオアシス
カラカラバザールに行くんだな","Sorry, but in Gerudo Town it is tradition
that voe are not permitted entry. We
honor that tradition very strictly.
If you need to prepare for a journey, you
should head to the oasis near the
desert's entrance, Kara Kara Bazaar."
6,Npc_oasis024_002,"すまんが
この街にヴォーイは入れないんだ
旅支度なら砂漠の入口付近にあるオアシス
カラカラバザールにでも行くんだな","Sorry, but voe are not allowed in town.
If you need to make preparations for
your journey, you can do so elsewhere.
Try Kara Kara Bazaar, the oasis at the
entrance of the desert. Voe are welcome
there."
7,Npc_oasis024_003,"ここはゲルドの街
ハイラル最大の交易の場所だ
この街の掟で中に入れるのは
ヴァーイのみとなっている
不審者は我々がしっかり見張っているからな
安心して ここで旅支度をしていってくれ","This is Gerudo Town, Hyrule's largest
trade hub.

Only vai are permitted entry within the
walls, and we're constantly on alert for
anyone who looks suspicious."
8,Npc_oasis024_004,"ここは交易の街としても有名だが
ヴァーイしかいない街としても有名なんだ
不審者は我々がしっかり見張っているからな
安心して ここで旅支度をしていってくれ","This place is famous for its bustling
trade, but also for our unusual rule
allowing only vai into the town.
We're constantly on the lookout for
anyone suspicious, so you can rest
easy here."
9,Npc_oasis024_005,サヴァーク,Sav'aaq.
10,Npc_oasis024_006,サヴォッタ,Sav'otta.
11,Npc_oasis024_008,"バーイではない！
ヴァーイだ！
下唇をかむ感じで発音するのがコツだ！

お前達の言葉でいうなら
『女』ということだな
ちなみに『男』はヴォーイ
どうだ ゲルド語はわかりやすいだろう？","Not \""bai\""! Vai!


Bite your bottom lip as you say it.
It translates to \""woman\"" in your
language.
So long as we're on the subject, voe is
our word for \""man.\""

If you plan to stay awhile, you'd do well
to learn the language."
12,Npc_oasis024_009,"ボーイではない！
ヴォーイだ！
下唇をかむ感じで発音するんだ！

お前達の言葉でいうなら
『男』ということだな
ちなみに『女』はヴァーイ
どうだ ゲルド語はわかりやすいだろう？","Not \""boe\""! Voe!


Bite your bottom lip as you say it.
It translates as \""man\"" in your language.

So long as we're on the subject, vai is
our word for \""woman.\"" What do you
think? Pretty easy to remember?"
13,Npc_oasis024_010,"せっかくだから ゲルド語も覚えておくといい
サヨナラはサヴォークだ","Since you're here, it might be worth it
to learn some Gerudo words, right?
\""Good-bye\"" is sav'orq."
14,Npc_oasis024_011,サヴァサーヴァ,Sav'saaba.
15,Npc_oasis024_Near001,"待て ヴォーイ！
どこへ行く！！
ゲルドの街へは ヴォーイは入れぬ掟
即刻立ち去るのだ！","Freeze! Where do you think you're
going?! Not into town—that's for sure!
No voe allowed. Off with you!"
16,Sinjyu_Female_001,"族長様が神獣を鎮めてくださった！
もうこの街に アレが近づくこともないだろう
これからは今まで以上に安心して
この街で羽を伸ばしてくれ","The chief has calmed the Divine Beast.
The town can finally rest easy with that
threat handled...
Now you can truly relax in town.
Feel free to come inside."
17,Sinjyu_Normal_001,"族長様が神獣を鎮めてくださった！
もうこの街に アレが近づくこともないだろう
これからは今まで以上に人の出入りも
多くなるだろうからな
ヴォーイが紛れ込まない様
しっかり見張っておかないとな！","The chief has calmed the Divine Beast.
The town can finally rest easy with that
threat handled...
I'm sure we'll see more business traffic
going in and out than we have in a
while, too.
Which means I have to be extra diligent
in keeping voe from slipping into town
with the crowds!"
