#,Title,JPja,USen
1,"""0000""",ツルギバナナ？,Mighty bananas?
2,"""0001""",さよなら,Good-bye.
3,Near00,それホント？,Is that true?
4,Near01,Zzz... Zzz...,Zzz...zzz...
5,Talk_01,"アナタもショッピング？

私はツルギバナナがないか見てるんだけど","Are you shopping too? I'm seeing if
there are any mighty bananas here..."
6,Talk_02,"ツルギバナナはね 
高たんぱく高エネルギーでね
食べると力がみなぎってくるのよ

数は少ないけどカラカラバザールになら
いつでも売ってるんだけど
なんでもバナナばっかり食べる民族がいて
その人達が買い占めてるって噂もあるぐらい
なかなか入荷しないのよね…","Mighty bananas are absolutely loaded
with protein and calories, you know.
Eating them will fill you with power!
They're always up for sale at
Kara Kara Bazaar, even though
there may not be a ton of them.
I've heard about a tribe that only eats
mighty bananas. Whenever they're
available, the tribe buys all it can."
7,Talk_03,"アナタは ハイリア人？

そんな細い身体で
あの砂漠を通ってくるなんて
アナタ意外と すごいヴァーイなのね","Are you a Hylian?


It's always impressive when a Hylian
makes it across the desert.
"
8,Talk_04,"数は少ないけど
カラカラバザールに行けば あるんだけどね…
実は私スナザラシに乗れないから
遠出できないんだよね…
あっ これみんなにナイショね","They're available at Kara Kara Bazaar,
though there may not be a ton of them.

If I'm being honest, I can't sand-seal surf
at all, so I can't travel far.
Oh, please don't tell anyone."
9,Talk_05,"そんな姿じゃ
今の時間外にでたら凍えちゃうよ
ウチに泊めてあげたいところだけど
私 ルームシェアだから無理だし…
あっアローマさんところのホテルだったら
今日は空いてるんじゃないかな？
もし疲れてるなら行ってみたら？
エステが最高だってきくよ","...Wait, if you go outside wearing that,
you'll freeze your bum right off.

I'd offer to let you stay at my house, but
I'm already sharing my room, so I can't...

It's possible that Romah's hotel may
have some open rooms tonight. You can
go check there. It's a very relaxing place."
10,Talk_06,…うーん…,Mmm...
11,Talk_07,"同居しているプレスタは毎晩遅くまで
飲み歩いてるし神獣は暴れてるしで
以前は なかなか グッスリ眠れなかったけど
神獣が大人しくなってくれたからか
最近目覚めがすっごくいいのよね","My roommate Pritana used to go out
on the town and loudly get home really
late at night...
Between that and the Divine Beast's
stomping... I really never got a good
night's sleep.
But ever since the Divine Beast was
calmed, I wake up feeling totally
refreshed!"
12,Talk_08,"最近 あの神獣のせいで
観光客があまり来なくなっちゃって…
みんな アナタみたいに
勇気のあるヴァーイならいいんだけどね～","We haven't seen many outsiders around
here lately, thanks to that Divine Beast...

I wish there were more brave vai like
you out there."
13,Talk_10,こんな時に観光客だなんて珍しいわね,"Strange to see a tourist like you
these days."
14,Talk_11,今日も気持ちいい朝ね！,Another beautiful morning!
15,Talk_12,"ヴァーイ友達とおしゃべりしてると
あっという間に時間がたっちゃうのよね…
でも不思議と話してた内容は
次の日になったら忘れちゃうのよね…","Talking with my vai friends makes
time fly...

But surprisingly, I've forgotten
everything we talked about by the
following day..."
16,Talk_13,サヴォッタ,Sav'otta.
17,Talk_14,サヴァーク！,Sav'aaq!
18,Talk_15,サヴァサーバ,Sav'saaba.
