#,Title,JPja,USen
1,Shout_Zelda_Text010,"ガノンは全身を怨念で覆っています…
このままではどんな攻撃も受け付けないでしょう","That energy covering Ganon's body is
called Malice. None of your attacks will
get through as he now is..."
2,Shout_Zelda_Text020,"私が怨念を抑えます…力が足りず僅かですが…
光っているところを射抜いて下さい","I will hold the Malice back as much as
I can, but my power is waning. Attack
any glowing points that you see!"
3,Shout_Zelda_Text021,"リンク…
武運を！",May you be victorious!
4,Shout_Zelda_Text030,"今です！
怨念を抑えています！",I'm holding back the Malice!
5,Shout_Zelda_Text031,"リンク
今です！","Link, now!"
6,Shout_Zelda_Text032,今です！,Go!
7,Shout_Zelda_Text033,今のうちです！,Now's your chance!
8,Shout_Zelda_Text034,今のうちに早く！,Quickly now!
9,Shout_Zelda_Text035,怨念を抑えています！,"Hurry, Link!"
10,Shout_Zelda_Text036,光っているところを！,Hit the glowing area!
11,Shout_Zelda_Text037,光っているところを狙って下さい！,Aim for a glowing area!
12,Shout_Zelda_Text038,光を射抜いて下さい！,Shoot a glowing area!
13,Shout_Zelda_Text039,"リンク！
光を狙って！",Aim for a glowing area!
14,Shout_Zelda_Text040,"ごめんなさい…
もちそうに…ありません…",I'm sorry. I can't hold it...
15,Shout_Zelda_Text041,長くは…抑えられません…,I can't hold it much longer...
16,Shout_Zelda_Text042,急いで…下さい…,Hurry! Please...
17,Shout_Zelda_Text050,"""",Aah!
18,Shout_Zelda_Text051,"""",Kuh...!
19,Shout_Zelda_Text052,"""",Nng!
20,Shout_Zelda_Text070,"もう一度抑えます！
用意を！！",I will hold back the Malice again!
21,Shout_Zelda_Text071,"リンク準備を！
もう一度抑えます！","Prepare yourself, Link!"
22,Shout_Zelda_Text072,"備えて下さい リンク！
もう一度抑えます！","Get ready, Link!"
23,Shout_Zelda_Text080,ガノンの力が弱まってきています！,Ganon's power is weakening!
24,Shout_Zelda_Text081,ガノンが苦しんでいます！,It's working!
25,Shout_Zelda_Text082,"あと少しです！
あと少しでガノンを…！",We're so close!
26,Shout_Zelda_Text090,"リンク！
見て下さい… ガノンの頭上を！",Link! Look up there!
27,Shout_Zelda_Text091,"それが ガノンの中枢です！
リンク…貴方に全てを託します！","That's the very core of Ganon's being!
Do what you must, Link!"
28,Shout_Zelda_Text100,ガノンの攻撃を利用して下さい！,Use his attacks to your advantage!
29,Shout_Zelda_Text101,"リンク…
気流を使って！","Use the updraft, Link!"
30,Shout_Zelda_Text104,空中から弓でとどめを！,Shoot from on high!
31,Shout_Zelda_Text110,"リンク！
とどめを！","Finish him, Link!"
32,Shout_Zelda_Text111,"リンク！
今です！","Now, Link!"
33,Shout_Zelda_Text112,"リンク！
ガノンを倒して！","Do it, Link!"
