#,Title,JPja,USen
1,Demo032_0_Text000,シーカーストーン認証,Sheikah Slate authenticated.
2,Demo032_0_Text001,"シーカーストーン認証
シーカーセンサーの機能を拡張します","Sheikah Slate authenticated.
Enhancing Sheikah Sensor."
3,Demo032_0_Text002,"シーカーストーン認証
ビタロックの機能を拡張します","Sheikah Slate authenticated.
Enhancing Stasis rune."
4,Demo032_0_Text003,"シーカーストーン認証
リモコンバクダンの機能を拡張します","Sheikah Slate authenticated.
Enhancing Remote Bomb rune."
5,Demo032_0_Text004,"シーカーストーン認証
ハイラル図鑑に写し絵を追加します","Sheikah Slate authenticated.
Adding picture to Hyrule Compendium."
6,Demo032_0_Text005,チェッキー！,Snap!
7,Demo032_0_Text006,"んむむ～…ちょっと元気ないけど
まあ いっか","Hmm... I was expecting more enthusiasm,
but whatever."
8,Demo032_0_Text007,はいほ～い！いただきました～！,Hey-ho! Got it!
9,Demo032_0_Text008,勇導石 ロック解除！,Guidance Stone lock removed!
10,Demo032_0_Text009,はい例のアレ…いってみよ～！,Now...let's do this thing!
11,Demo032_0_Text010,"ではではシーカーストーンの修復作業を
開始しま～す！","Hokay then,Sheikah Slaterepair...
underway!"
12,Demo032_0_Text011,"ではではシーカーセンサーのパワーアップを
開始しますね～！","Hokay then,Sheikah Sensor upgrade...
underway!"
13,Demo032_0_Text012,"ではではリモコンバクダンのパワーアップを
開始しま～す！","Hokay then,Remote Bomb upgrade...
underway!"
14,Demo032_0_Text013,"ではではビタロックのパワーアップを
開始しますですよ～！","Hokay then,Stasis upgrade...underway!"
15,Demo032_0_Text014,"ウツシエハイラル図鑑アルバムの
欠損を確認","Camera,Hyrule Compendium,and album
missing files confirmed."
16,Demo032_0_Text015,"ウツシエハイラル図鑑アルバム
シーカーセンサーの欠損を確認","Camera,Hyrule Compendium, album,and
Sheikah Sensor missing files confirmed."
17,Demo032_0_Text016,修復を開始します,Starting repair.
18,Demo032_0_Text017,修復を完了しました,Repair complete.
19,Demo032_0_Text018,シーカーセンサーの機能を拡張しました,Sheikah Sensor upgrade complete.
20,Demo032_0_Text019,ビタロックの機能を拡張しました,Stasis upgrade complete.
21,Demo032_0_Text020,リモコンバクダンの機能を拡張しました,Remote Bomb upgrade complete.
22,Demo032_0_Text021,シーカーセンサー＋を入手しました,Sheikah Sensor + obtained.
23,Demo032_0_Text022,"シーカーセンサーを入手しました

シーカーセンサーは マップ画面で
 を押す事で ON OFF切り替えができます
","Sheikah Sensor obtained.


You can turn the Sheikah Sensor on or
off with on the map screen."
24,Demo032_0_Text023,アイテムが追加されました,A rune has been added.
25,Demo032_0_Text024,シーカーセンサーとハイラル図鑑を連動,"Sheikah Sensor and
Hyrule Compendium linked."
