#,Title,JPja,USen
1,Dungeon000,タ・ムールの祠,Tah Muhl Shrine
2,Dungeon000_master,タ・ムール,Tah Muhl
3,Dungeon000_sub,炎を伝えて,Passing the Flame
4,Dungeon001,ジノ・ヨーの祠,Jee Noh Shrine
5,Dungeon001_master,ジノ・ヨー,Jee Noh
6,Dungeon001_sub,静と動の選択,On the Move
7,Dungeon002,サ・ダージュの祠,Sah Dahaj Shrine
8,Dungeon002_master,サ・ダージュ,Sah Dahaj
9,Dungeon002_sub,炎のちから,Power of Fire
10,Dungeon003,ハワ・カイの祠,Hawa Koth Shrine
11,Dungeon003_master,ハワ・カイ,Hawa Koth
12,Dungeon003_sub,エレキの伝達,The Current Solution
13,Dungeon004,キワ・ザタスの祠,Zalta Wa Shrine
14,Dungeon004_master,キワ・ザタス,Zalta Wa
15,Dungeon004_sub,２つの球は空への導き,Two Orbs to Guide You
16,Dungeon005,ネヅ・ヨマの祠,Ne'ez Yohma Shrine
17,Dungeon005_master,ネヅ・ヨマ,Ne'ez Yohma
18,Dungeon005_sub,押し出す力,Pushing Power
19,Dungeon006,ヤオ・マーヨの祠,Yah Rin Shrine
20,Dungeon006_master,ヤオ・マーヨ,Yah Rin
21,Dungeon006_sub,審判を下すは鉄の箱,A Weighty Decision
22,Dungeon007,ヴァシ・リャコの祠,Bosh Kala Shrine
23,Dungeon007_master,ヴァシ・リャコ,Bosh Kala
24,Dungeon007_sub,風の導き,The Wind Guides You
25,Dungeon008,ヴォリダ・ノの祠,Bareeda Naag Shrine
26,Dungeon008_master,ヴォリダ・ノ,Bareeda Naag
27,Dungeon008_sub,大砲,Cannon
28,Dungeon009,ワ・モダイの祠,Owa Daim Shrine
29,Dungeon009_master,ワ・モダイ,Owa Daim
30,Dungeon009_sub,時よ止まれ,Stasis Trial
31,Dungeon010,ケー・ノイの祠,Kay Noh Shrine
32,Dungeon010_master,ケー・ノイ,Kay Noh
33,Dungeon010_sub,エレキのちから,Power of Electricity
34,Dungeon011,モンヤ・トマの祠,Monya Toma Shrine
35,Dungeon011_master,モンヤ・トマ,Monya Toma
36,Dungeon011_sub,つながる放物線,Drawing Parabolas
37,Dungeon012,ウータ・ドの祠,Voo Lota Shrine
38,Dungeon012_master,ウータ・ド,Voo Lota
39,Dungeon012_sub,風の道,The Winding Route
40,Dungeon013,カツ・トサの祠,Katosa Aug Shrine
41,Dungeon013_master,カツ・トサ,Katosa Aug
42,Dungeon013_sub,カツ・トサのからくり,Katosa Aug Apparatus
43,Dungeon014,カム・ユオの祠,Kam Urog Shrine
44,Dungeon014_master,カム・ユオ,Kam Urog
45,Dungeon014_sub,時を刻む歯車,Trial of Passage
46,Dungeon015,トト・イサの祠,Toto Sah Shrine
47,Dungeon015_master,トト・イサ,Toto Sah
